,objectID,room,locationType,locationID,locationLetter,artist,info
25,1973.1.727.4,Nasher Painting Storage Room,Screen,28.0,A,Nazca,"Pouch, 200 BCE–700 CE"
26,1973.1.735,Nasher Painting Storage Room,Screen,50.0,B,Chimú,"Sleeved Poncho, 1000–1470"
27,1973.1.738,Nasher Painting Storage Room,Screen,28.0,B,Peruvian,"Loincloth tie end, 1100–1476"
28,1973.1.739,Nasher Painting Storage Room,Screen,28.0,B,Chancay,"Complete Breech Cloth with Bird Pattern, 1000–1470"
29,1973.1.740,Nasher Painting Storage Room,Screen,28.0,A,Chimú,"Small Tunic, 1100–1534"
30,1973.1.751,Nasher Painting Storage Room,Screen,28.0,B,"Peruvian, Central Coast","Backstrap Loom, before 1533"
31,1973.1.752,Nasher Painting Storage Room,Screen,58.0,B,Chancay,"Cloth on Loom with Weaving Tools, 1000–1470"
32,1973.1.753,Nasher Painting Storage Room,Screen,54.0,A,Chancay,"Fish Pattern Textile on a Loom, 1000–1470"
33,1973.1.788,Nasher Painting Storage Room,Screen,28.0,B,Chancay,"Pouch, strap, black, browns, 1000–1470"
34,1973.1.791.A,Nasher Painting Storage Room,Screen,28.0,B,Chancay or Chimú,"Pouch, 1000–1470"
35,1973.1.796,Nasher Painting Storage Room,Screen,28.0,B,Chancay,"Tubular belt, birds, and frets, 1000–1470 CE"
36,1973.1.808,Nasher Painting Storage Room,Screen,28.0,B,Chancay,"Cloth Fragment: Fisherman on Boat, 1000–1470"
37,1973.1.811,Nasher Painting Storage Room,Screen,28.0,B,"Peruvian, Central Coast","Panel, 1460–1532"
38,1973.1.823,Nasher Painting Storage Room,Screen,28.0,B,"Chancay (Peru, central coast)","Panel, double cloth, birds and cats, brown, 1000–1470"
39,1973.1.854,Nasher Painting Storage Room,Screen,28.0,A,Chancay,"Textile Fragment on a Loom, 1000–1470"
40,1973.25.1,Nasher Painting Storage Room,Screen,59.0,A,Kyohei Inukai,"T.R.F. VI, 1970"
41,1973.26.1,Nasher Painting Storage Room,Screen,59.0,A,Kyohei Inukai,"T.R.F. VII, 1970"
42,1973.48.1,Nasher Painting Storage Room,Screen,63.0,J,Mopti peoples,Tapestry Weave Blanket
43,1973.80.6,Nasher Painting Storage Room,Wall Screen,18.0,,Mossi peoples,Mask
44,1974.38.2,Nasher Painting Storage Room,Screen,56.0,B,Walter Benoldi,"Still life, 20th century"
45,1974.38.4,Nasher Painting Storage Room,Screen,61.0,A,Giuseppe Cesetti,"Horses, 20th century"
46,1974.38.7,Nasher Painting Storage Room,Screen,56.0,B,Roberto Melli,"Italian Family, 20th century"
47,1974.38.8,Nasher Painting Storage Room,,,,Sante Monachesi,"Study, 20th century"
48,1974.38.11,Nasher Painting Storage Room,Screen,54.0,A,Giovanni Stradone,"Nude, 20th century"
49,1975.4.1,Nasher Painting Storage Room,Screen,28.0,B,"Peruvian, Ica Valley, South Coast","Burial Mask, 600–400 BCE"
50,1975.17.2,Nasher Painting Storage Room,Screen,40.0,A,Maud Florence Gatewood,"Winter Light, 1973"
51,1975.20.27,Nasher Painting Storage Room,Screen,26.0,A,"Duncan Stuart, American, 1919 - 2001","Concentric One, 1959"
52,1975.20.28,Nasher Painting Storage Room,Screen,41.0,B,"Duncan Stuart, American, 1919 - 2001","Bicina II, 20th century"
53,1975.27.1,Nasher Painting Storage Room,Screen,53.0,A,Joseph H. Cox,"Inside Out, 1975"
54,1975.27.2,Nasher Painting Storage Room,Screen,28.0,A,Joseph H. Cox,"Pier Group II, c. 1975"
55,1975.38.1,Nasher Painting Storage Room,Screen,19.0,B,"Richard Redgrave, RA","Over the Hill to the Village, 19th century"
56,1975.49.1,Nasher Painting Storage Room,Screen,11.0,A,Robert Nanteuil,"Portrait of M. Louis Le Fevre de Caumartin, 17th century"
57,1975.51.1,Nasher Painting Storage Room,Screen,27.0,A,John Sloan,"Roses and Rock, 1918"
58,1975.53.5,Nasher Painting Storage Room,Screen,28.0,B,Peruvian,"Cloth Fragment, 700–1000 CE"
59,1975.53.10,Nasher Painting Storage Room,Screen,28.0,B,Chancay,"Textile Fragment (alternating rows of fish, serpent and bird figure), 1000–1470"
60,1975.53.13,Nasher Painting Storage Room,Screen,28.0,A,Chancay,"Cloth fragment; open cell fringe knit weave, with fringe, red, blue and green., 1000–1470 CE"
61,1976.4.1,Nasher Painting Storage Room,Screen,54.0,A,Russell W. Arnold,"Red Step, n.d."
62,1976.6.1,Nasher Painting Storage Room,Screen,20.0,A,Henry Ernest Schnakenberg,"South Beach, Staten Island, 1919"
63,1976.8.1,Nasher Painting Storage Room,Screen,62.0,F,Bolivian,"Manta, c. 1850"
64,1976.9.1,Nasher Painting Storage Room,Screen,62.0,E,Dorothy Mike,"Two Grey Hills weaving, 20th century"
65,1976.9.2,Nasher Painting Storage Room,Screen,62.0,D,Virginia Leonard,"Weaving: Tree of Life, 20th century"
66,1976.9.3,Nasher Painting Storage Room,Screen,62.0,T,Navajo,"Weaving: Wide Ruins, 20th century"
67,1976.9.4,Nasher Painting Storage Room,Screen,63.0,G,Mary Long,"Weaving: Sand Painting, 20th century"
68,1976.9.5,Nasher Painting Storage Room,Screen,62.0,T,Virginia Leonard,"Weaving, 20th century"
69,1976.9.6,Nasher Painting Storage Room,Screen,63.0,G,Navajo,"Weaving: Burnt Water, 20th century"
70,1976.9.7,Nasher Painting Storage Room,Screen,63.0,G,Navajo,"Weaving, 20th century"
71,1976.9.8,Nasher Painting Storage Room,Screen,63.0,T,Navajo,"Weaving, 20th century"
72,1976.9.9,Nasher Painting Storage Room,Screen,62.0,T,"Hopi, or Navajo","Weaving, 20th century"
73,1976.9.10,Nasher Painting Storage Room,Screen,63.0,T,Navajo,"Weaving, 20th century"
74,1976.9.11,Nasher Painting Storage Room,Screen,63.0,G,Navajo,"Storm pattern weaving, 20th century"
75,1976.9.12,Nasher Painting Storage Room,Screen,63.0,T,Navajo,"Weaving, c. 1910–1940"
76,1976.9.13,Nasher Painting Storage Room,Screen,63.0,T,Navajo,"Third Phase chief's blanket, 20th century"
77,1976.9.14,Nasher Painting Storage Room,Screen,62.0,T,Navajo,"Weaving, 20th century"
78,1976.9.15,Nasher Painting Storage Room,Screen,62.0,N,Navajo,"Weaving: Crystal Pattern, 20th century"
79,1976.9.16,Nasher Painting Storage Room,Screen,62.0,N,Navajo,"Weaving, 20th century"
80,1976.9.17,Nasher Painting Storage Room,Screen,62.0,N,Navajo,"Weaving, 20th century"
81,1976.9.18,Nasher Painting Storage Room,Screen,62.0,T,Navajo,"Weaving, 20th century"
82,1976.9.19,Nasher Painting Storage Room,Screen,62.0,T,Navajo,"Weaving, 20th century"
83,1976.10.1,Nasher Painting Storage Room,Wall Screen,28.0,,Flemish,"Tapestry - woodland scene with forest on right, stream with birds on left.  Green, brown, yellow, foliate border pattern., 16th century–17th century"
84,1976.21.1,Nasher Painting Storage Room,Screen,52.0,A,Charles Fernando,"Untitled, mid 20th century"
85,1976.31.1,Nasher Painting Storage Room,Screen,63.0,F,Flemish (?),Tapestry
86,1976.35.1,Nasher Painting Storage Room,Screen,54.0,A,"Ellen Wetherald Ahrens, American, 1859 - 1938",Portrait of Eakin's Sister
87,1976.36.1,Nasher Painting Storage Room,Screen,23.0,A,George Inness,"Landscape, Pompton, NJ, 1879"
88,1976.47.1,Nasher Painting Storage Room,Screen,27.0,A,John Sloan,"Mare's Tails, Gloucester Moors, 1915"
89,1976.63.1,Nasher Painting Storage Room,Screen,25.0,B,"Henry Inman
American, 1801 - 1846","Portrait of Mrs. Catherine Nicholson Few, 1838"
90,1976.63.1.B,Nasher Painting Storage Room,Screen,25.0,B,"Henry Inman
American, 1801 - 1846","Portrait of Mrs. Catherine Nicholson Few, 1838"
91,1976.69.1,Nasher Painting Storage Room,Screen,60.0,B,George Benjamin Luks,"Little Mother, late 19th–early 20th Century"
92,1976.70.1,Nasher Painting Storage Room,Screen,12.0,A,John Sloan,"Maid Cutting Ice, 1918"
93,1976.70.1 FRAME,Nasher Painting Storage Room,Screen,12.0,A,John Sloan,"Maid Cutting Ice, 1918"
94,1976.80.18,Nasher Painting Storage Room,Screen,63.0,P,"Fulani peoples, or Peul peoples","Men's Weave Blanket, 20th century"
95,1976.101.1,Nasher Painting Storage Room,Screen,57.0,A,Silvia Heyden,"Hurricane, 20th century"
96,1976.103.1,Nasher Painting Storage Room,Screen,6.0,B,Silvia Heyden,"TyBee, 20th century"
97,1976.106.51,Nasher Painting Storage Room,Screen,61.0,B,Mexican,"Huichol: Depicting  the Shooting of a Peyote -Coyote with Two Attendant Shamans, 20th century"
98,1977.50.40,Nasher Painting Storage Room,Screen,63.0,I,Indonesian,Batik Trade Cloth
99,1977.50.42,Nasher Painting Storage Room,Screen,63.0,I,Indian,Sari Length Cloth
100,1977.50.44,Nasher Painting Storage Room,Screen,63.0,I,Indian,Sari
101,1977.50.47,Nasher Painting Storage Room,Screen,63.0,O,Indian,"Sari, n.d."
102,1977.58.1,Nasher Painting Storage Room,Screen,15.0,A,,"The Annunciation, c. 1640"
103,1977.59.53,Nasher Painting Storage Room,Screen,52.0,A,Henri Meunier,Poster: Rajah Woman
104,1977.59.55,Nasher Painting Storage Room,Screen,55.0,A,French,"Carte du Pays de Tendre, c. 1659"
105,1977.59.59,Nasher Painting Storage Room,Screen,55.0,A,Pierre Andrieu,"Tigre Couché, 19th century"
106,1978.1.1,Nasher Painting Storage Room,Screen,28.0,A,Arthur Bowen Davies,"The Orchard, n.d."
107,1978.23.9,Nasher Painting Storage Room,Screen,62.0,D,Bolivian,Runner
108,1978.23.10,Nasher Painting Storage Room,Screen,62.0,D,Bolivian,Three Alpaca Runners.  Woven as a group together
109,1978.53.8,Nasher Painting Storage Room,Screen,62.0,H,Aymara,Manta
110,1978.53.11,Nasher Painting Storage Room,Screen,62.0,J,Peruvian,Manta
111,1978.53.28,Nasher Painting Storage Room,Screen,62.0,E,Bolivian,Manta
112,1978.53.31,Nasher Painting Storage Room,Screen,62.0,E,Bolivian,Manta
113,1978.53.32,Nasher Painting Storage Room,Screen,63.0,O,Bolivian,Shawl
114,1978.53.33,Nasher Painting Storage Room,Screen,63.0,O,Bolivian,Shawl
115,1978.53.34,Nasher Painting Storage Room,Screen,63.0,E,Bolivian,Sweater
116,1978.53.43,Nasher Painting Storage Room,Screen,62.0,E,Peruvian,Manta
117,1978.53.44,Nasher Painting Storage Room,Screen,62.0,F,Peruvian,Manta
118,1978.53.45,Nasher Painting Storage Room,Screen,62.0,H,Peruvian,Manta
119,1979.18.4.F,Nasher Painting Storage Room,Screen,28.0,A,Peruvian,Textile Fragment
120,1979.51.1,Nasher Painting Storage Room,Screen,12.0,A,"Francisco de Campos, c. 1515-1580 (attributed to)","Noli me Tangere from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
121,1979.51.2,Nasher Painting Storage Room,Screen,12.0,A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Adoration of the Shepherds from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
122,1979.51.3,Nasher Painting Storage Room,Screen,12.0,A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Crucifixion from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
123,1979.64.1,Nasher Painting Storage Room,Screen,63.0,R,Fulani peoples,"Blanket, 20th century"
124,1979.71.7,Nasher Painting Storage Room,Screen,45.0,A,John Doyle,"Sharpshooter 76/Sony Wars from the series Sharpshooters, 1976"
125,1980.1.3,Nasher Painting Storage Room,Screen,39.0,B,"Jan Saenredam, After an engraving by Hendrik Goltzius",Venus Resting with Cupid (after Hendrick Goltzius)
126,1980.30.1,Nasher Painting Storage Room,Screen,62.0,F,Navajo,"Weaving, c. 1915"
127,1980.30.2,Nasher Painting Storage Room,Screen,62.0,J,Navajo,"Weaving, c. 1915"
128,1980.32.1,Nasher Painting Storage Room,Screen,63.0,S,Spanish,"Embroidered Panel ( a la Fragonard), 18th century"
129,1980.32.2,Nasher Painting Storage Room,Screen,63.0,S,Spanish,"Embroidered Panel ( a la Fragonard), 18th century"
130,1980.32.3,Nasher Painting Storage Room,Screen,63.0,S,Spanish,"Embroidered Panel ( a la Fragonard), 18th century"
131,1980.32.4,Nasher Painting Storage Room,Screen,63.0,S,Spanish,"Embroidered Panel ( a la Fragonard), 18th century"
132,1980.32.5,Nasher Painting Storage Room,Screen,63.0,S,Chinese,"Embroidered Panel With Floral Motif, n.d."
133,1980.35.1,Nasher Painting Storage Room,Screen,12.0,A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Resurrection from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
134,1980.35.2,Nasher Painting Storage Room,Screen,12.0,A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Pentecost from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
135,1980.35.3,Nasher Painting Storage Room,Screen,12.0,A,"Francisco de Campos, c. 1515 - 1580 (attributed to)","Assumption of the Virgin from Scenes from the life of Christ and the Virgin Mary, 1560–1565"
136,1980.71.1,Nasher Painting Storage Room,Screen,20.0,A,"Unknown, In the style of Giorgio de Chirico","The Silent Life of Fruit (vita silente di frutta), c. 1963"
137,1980.81.5,Nasher Painting Storage Room,Screen,38.0,A,"Romare Bearden, Published by London Arts Group","In the Garden from American Portfolio, 1979 (published 1980)"
138,1980.98.3,Nasher Painting Storage Room,Screen,48.0,A,Richard Smith,"K. Magenta, 1971"
139,1980.98.4,Nasher Painting Storage Room,Screen,48.0,A,Richard Smith,"C. Grey, 1971"
140,1981.14.6,Nasher Painting Storage Room,Screen,62.0,D,Navajo,"Saddle blanket, 20th century"
141,1981.14.9,Nasher Painting Storage Room,Screen,62.0,D,Navajo,"Ganado style Weaving, 20th century"
142,1981.14.10,Nasher Painting Storage Room,Screen,62.0,D,Navajo,"Germantown Weaving, c. 1900"
143,1981.14.11,Nasher Painting Storage Room,Screen,62.0,J,Navajo,"Yei Weaving, 20th century"
144,1981.14.12,Nasher Painting Storage Room,Screen,62.0,J,Navajo,"Weaving, 20th century"
145,1981.14.13,Nasher Painting Storage Room,Screen,62.0,P,Rio Grande,"Blanket, mid 19th century"
146,1981.25.3,Nasher Painting Storage Room,Screen,54.0,A,Arthur Bowen Davies,"Marjorie, late 19th–early 20th Century"
147,1981.26.1,Nasher Painting Storage Room,Screen,52.0,A,Raul Schur,"Untitled, 20th century"
148,1982.7.2,Nasher Painting Storage Room,Screen,45.0,B,John McCurdy,"Descent from Above, 1971"
149,1982.24.1.1,Nasher Painting Storage Room,Screen,28.0,B,"Paracas, or Nazca","Tassel, c. 500 BCE"
150,1982.24.1.2,Nasher Painting Storage Room,Screen,28.0,B,"Paracas, Nazca","Tassel, c. 500 BCE"
151,1982.27.1,Nasher Painting Storage Room,Screen,62.0,O,Bolivian,"Two Joined Textile Panels, c. 1900"
152,1982.27.2,Nasher Painting Storage Room,Screen,62.0,D,Bolivian,"Manta, 1900s"
153,1982.27.4,Nasher Painting Storage Room,Screen,62.0,H,Bolivian,"Half Aksu, 1900s"
154,1982.27.6,Nasher Painting Storage Room,Screen,63.0,P,Bolivian,"Balandran (horseman's poncho), 1900s"
155,1982.27.7,Nasher Painting Storage Room,Screen,62.0,E,"Calcha, Potosi","Poncho, 1900s"
156,1982.27.8,Nasher Painting Storage Room,Screen,63.0,O,Bolivian,"Manta, 1900s"
157,1982.27.9,Nasher Painting Storage Room,Screen,63.0,S,Bolivian,"Poncho, 1900s"
158,1982.27.13,Nasher Painting Storage Room,Screen,62.0,J,Potosi,"Poncho, 1960s"
159,1982.27.14,Nasher Painting Storage Room,Screen,63.0,O,Peruvian,"Poncho, 1970s"
160,1982.27.15,Nasher Painting Storage Room,Screen,62.0,O,Bolivian,"Poncho, c. 1965"
161,1982.27.16,Nasher Painting Storage Room,Screen,62.0,F,Bolivian,"Asku, c. 1970"
162,1982.27.17,Nasher Painting Storage Room,Screen,62.0,J,Bolivian,"Aksu: Two Joined Textile Panels, c. 1960"
163,1982.27.18,Nasher Painting Storage Room,Screen,63.0,O,Bolivian,"Manta, c. 1960"
164,1982.27.19,Nasher Painting Storage Room,Screen,62.0,E,Potosi,"Manta, 1970s"
165,1982.27.20,Nasher Painting Storage Room,Screen,62.0,I,Bolivian,"Manta, 1900s"
166,1982.27.21,Nasher Painting Storage Room,Screen,63.0,P,Bolivian,"Poncho, c. 1970"
167,1983.3.1,Nasher Painting Storage Room,Screen,45.0,B,Kenneth Noland,"Handmade Paper (PK-0388), 1981"
168,1983.8.36,Nasher Painting Storage Room,Screen,63.0,H,The Friendship Senior Citizens Club,"Quilt, 20th century"
169,1983.9.1,Nasher Painting Storage Room,Screen,61.0,A,Aldo Pagliacci,"Untitled, 1954"
170,1983.9.2,Nasher Painting Storage Room,Screen,61.0,A,Aldo Pagliacci,"Untitled, 1954"
171,1983.9.7,Nasher Painting Storage Room,Screen,61.0,A,Alice Baber,"Split Circle, 1972"
172,1983.9.8,Nasher Painting Storage Room,Screen,61.0,A,Alice Baber,"Your Cousin, Xmas 1974, 1974"
173,1983.9.14,Nasher Painting Storage Room,Screen,60.0,A,American,"Untitled (portrait of a young child holding a rosebud), 20th century"
174,1983.9.15,Nasher Painting Storage Room,Screen,19.0,A,Geoffrey Budd Landis,"Wanton Wind: Billow in Orange and Red II, 1979"
175,1983.10.8,Nasher Painting Storage Room,Screen,52.0,A,Joshua Taylor,"Moonstone Colors, 1931"
176,1983.10.21,Nasher Painting Storage Room,Screen,55.0,A,Robert Natkin,"Untitled, 1971"
177,1983.10.22,Nasher Painting Storage Room,Screen,55.0,A,Japanese,"Untitled, 19th century"
178,1983.10.26,Nasher Painting Storage Room,Screen,52.0,A,Kiyoshi Saito,"Woman, 20th century"
179,1983.10.27,Nasher Painting Storage Room,Screen,56.0,A,Kiyoshi Saito,"Way Nara, 1960"
180,1983.10.28,Nasher Painting Storage Room,Screen,56.0,B,Kiyoshi Saito,"Maiko Kyoto, 1960"
181,1983.10.30,Nasher Painting Storage Room,Screen,52.0,A,Edwin Mieczkowski,"Untitled abstract, 20th century"
182,1983.10.33,Nasher Painting Storage Room,Screen,52.0,A,Unknown,"Untitled, 20th century"
183,1983.10.45,Nasher Painting Storage Room,Screen,52.0,A,"Jacques Hnizdovsky, American, born in Ukraine, 1915 - 1985","Jerome, 1978"
184,1983.10.46,Nasher Painting Storage Room,Screen,52.0,A,Ronald Thomason,"The Running N Longhorn Steer, 20th century"
185,1983.10.47,Nasher Painting Storage Room,Screen,52.0,A,John Towhey,"Untitled, 1973"
186,1983.10.50,Nasher Painting Storage Room,Screen,52.0,A,Unknown,"Untitled, 1800–1899"
187,1983.10.51,Nasher Painting Storage Room,Screen,52.0,A,Ernest Levinstein,"Untitled, 1967"
188,1983.10.53,Nasher Painting Storage Room,Screen,55.0,A,Sunil Das,"Untitled (horses), 20th century"
189,1983.10.59,Nasher Painting Storage Room,Screen,52.0,A,Bernard Buffet,"Les Parisiennes Vues par les Peintres Temoins de leur Temps, 1958"
190,1983.10.61,Nasher Painting Storage Room,Screen,56.0,A,Claes Oldenburg,"Object into Monument, 1972"
191,1983.10.65,Nasher Painting Storage Room,Screen,52.0,A,Paul Brown,"Untitled, 20th century"
192,1983.10.66,Nasher Painting Storage Room,Screen,52.0,A,Paul Brown,"Untitled, 20th century"
193,1983.10.67,Nasher Painting Storage Room,Screen,61.0,A,"John Cameron, American, born in Scotland  c.1828 
Published by Currier & Ives, American, active in New York, 1835–1907","Trotting Mare Nancy Hanks, record 2:04, 1872"
194,1983.10.68,Nasher Painting Storage Room,Screen,56.0,B,Anonymous,"Nancy Hanks 2:04, Driven by Budd Doble, 1872"
195,1983.10.81,Nasher Painting Storage Room,Screen,47.0,A,James Harbour Crable,"Times Square: New York, New York, 1978"
196,1983.10.83,Nasher Painting Storage Room,Screen,55.0,A,American,"Festival Casals de Puerto Rico/ 31 de mayo al 17 de Junio de 1972, 20th century"
197,1983.21.3,Nasher Painting Storage Room,Screen,28.0,B,"Peruvian, North Coast","Loincloth Tie End, 1400–1460"
198,1983.21.7,Nasher Painting Storage Room,Screen,28.0,B,Peruvian,"Chuspa (Coca bag), 900–1500"
199,1983.21.15,Nasher Painting Storage Room,Screen,28.0,B,Chancay,"Three Stripe Panel, 900–1500"
200,1983.21.24,Nasher Painting Storage Room,Screen,63.0,S,"Bolivian, Peruvian","Aksu, c. 1875"
201,1983.21.25,Nasher Painting Storage Room,Screen,62.0,J,Bolivian,"Half Luto (mourning) Aksu, c. 1966"
202,1983.21.26,Nasher Painting Storage Room,Screen,62.0,H,Bolivian,"Half Aksu: Birds, c. 1965"
203,1983.21.32,Nasher Painting Storage Room,Screen,62.0,H,Bolivian,"Aksu, c. 1970"
204,1983.21.33,Nasher Painting Storage Room,Screen,62.0,F,Bolivian,"Lliclla or Woman's Shawl Mantle with a Ribete, 1920–1930"
205,1983.21.34,Nasher Painting Storage Room,Screen,62.0,J,Bolivian,"Half-aksu, 1973–1974"
206,1983.21.36,Nasher Painting Storage Room,Screen,62.0,H,Bolivian,"Capacho (large bag), c. 1955–1960"
207,1984.13.1,Nasher Painting Storage Room,Screen,51.0,A,Henry Salem Hubbell,"Portrait of Harlan Fiske Stone; Chief Justice, United States Supreme Court, 1942"
208,1984.15.1,Nasher Painting Storage Room,Screen,12.0,B,Claude Vignon (attributed to),"Saint Jerome, 17th century"
209,1984.20.1,Nasher Painting Storage Room,Screen,63.0,I,Coastal Huari,"Textile Panel, 700–900"
210,1984.25.2,Nasher Painting Storage Room,Screen,12.0,A,"Federico Zuccaro, Italian, c. 1540-1609","The Conversion of Mary Magdalene, c. 1563"
211,1984.28.2,Nasher Painting Storage Room,Screen,52.0,A,Arthur Bowen Davies,"Horse and Wagon and Man, late 19th–early 20th Century"
212,1984.54.1,Nasher Painting Storage Room,Screen,62.0,R,Flemish,"Tapestry: A pastoral scene featuring a large water bird (crane?) in left foreground and large broad leaf tree on right.  In background is a body of water, 17th century"
213,1986.7.1,Nasher Painting Storage Room,Screen,47.0,A,"Michelangelo Pistoletto
Born in Biella, Italy, 1933","Clothes (Panni) from The Drape Suite, 1981"
214,1986.7.2,Nasher Painting Storage Room,Screen,44.0,A,"Michelangelo Pistoletto
Born in Biella, Italy, 1933","The Rose (La Rosa), 1981"
215,1986.12.5,Nasher Painting Storage Room,Screen,62.0,H,Bolivian,"Poncho, 20th century"
216,1986.13.1,Nasher Painting Storage Room,Screen,25.0,B,Bruce Crane,"In New England, late 19th century–early 20th century"
217,1987.3.1,Nasher Painting Storage Room,Wall Screen,46.0,,Japanese,"Untitled (two birds in flight, bamboo branches), 20th century"
218,1987.5.1,Nasher Painting Storage Room,Screen,24.0,A,Albert Bierstadt,"Mountain Brook, The White Mountains, New Hampshire, 1863"
219,1987.7.1,Nasher Painting Storage Room,Screen,25.0,A,John Frederick Kensett,"Eastern Landscape, c. 1850s"
220,1987.8.4,Nasher Painting Storage Room,Screen,61.0,A,Gatja Rothe,"Lake, 1988"
221,1987.9.1,Nasher Painting Storage Room,Screen,28.0,B,"Peruvian, North Coast","Panel Fragment, 1100–1300"
222,1987.9.3,Nasher Painting Storage Room,Screen,28.0,A,"Peruvian, Central Coast","Border, pre-1534"
223,1987.9.6,Nasher Painting Storage Room,Screen,28.0,A,"Peruvian, South Coast","Fragment, 1350–1420"
224,1987.9.9,Nasher Painting Storage Room,Screen,28.0,A,Chimú,"Fragment: Tunic Border, c. 1000–1400"
225,1987.9.10,Nasher Painting Storage Room,Screen,28.0,A,"Chimú, or Inca","Textile Fragment Depicting a Warrior, 1100–1300"
226,1987.9.11,Nasher Painting Storage Room,Screen,28.0,A,"Chimú, or Inca","Textile Fragment Depicting a Warrior, 1100–1300"
227,1987.11.1,Nasher Painting Storage Room,Screen,56.0,A,Rufino Tamayo,"Untitled, 20th century"
228,1988.1.1,Nasher Painting Storage Room,Screen,37.0,A,Julius Caesar Ibbetson,"Landscape, 1759–1817"
229,1988.5.6,Nasher Painting Storage Room,Screen,61.0,A,French,"Atalanta, 17th century"
230,1989.4.1,Nasher Painting Storage Room,Screen,54.0,A,Teotihuacán,"Mural Fragment with Image of Processional Figure, 600–750"
231,1991.1.2,Nasher Painting Storage Room,Screen,39.0,B,"Irwin Kremen
Born in Chicago, Illinois, 1925","Junctures, 1979"
232,1991.2.1,Nasher Painting Storage Room,Screen,12.0,B,Antwerp School,"Madonna and Child, c. 1540"
233,1991.6.115,Nasher Painting Storage Room,Screen,58.0,B,"Anonymous, Duke University",Spirit of Cats
234,1991.9.1,Nasher Painting Storage Room,Screen,4.0,B,,"Portrait of Miss Mary Lillian Duke (Mrs. Mary Duke Biddle, 1892-1960), 1911"
